ax,ay,az,accTotal,accChange,label
1.8523,-0.8186,1.9999,2.8462,0.4434,accident
-0.9446,0.2371,0.6716,1.1830,1.6632,accident
-0.2842,-0.3464,0.0442,0.4503,0.7328,accident
0.1038,-0.4241,0.7000,0.8249,0.3747,accident
-1.2075,0.1580,0.0586,1.2192,0.3943,accident
0.8562,-1.0303,0.8860,1.6061,0.3869,accident
-1.7908,0.4370,0.4585,1.8995,0.2934,accident
1.4255,-0.5542,1.6018,2.2147,0.3153,accident
-0.4829,0.1785,1.0364,1.1572,1.0575,accident
1.3743,-0.7253,0.9644,1.8289,0.6716,accident
-0.6023,1.9999,0.4209,2.1307,0.3018,accident
1.9999,-2.0000,1.5481,3.2243,1.0937,accident
0.8738,-0.7227,0.6421,1.3031,1.9213,accident
-0.1655,1.8093,0.9744,2.0617,0.7586,accident
1.9999,-1.4094,0.8364,2.5857,0.5240,accident
0.3079,-0.1445,0.8652,0.9297,1.6560,accident
-0.5610,-0.6560,1.9999,2.1783,1.2486,accident
0.7366,-0.7808,1.1685,1.5866,0.5916,accident
0.3721,0.1726,0.9578,1.0419,0.5447,accident
-0.1494,-0.8240,1.8022,1.9873,0.9454,accident
1.3765,0.0017,-0.4453,1.4467,0.5406,accident
0.4341,-0.6050,0.8003,1.0931,0.3536,accident
0.8992,-0.3250,1.1533,1.4981,0.4050,accident
-1.7312,0.5037,0.3064,1.8288,0.3307,accident
1.9999,-0.2600,0.7239,2.1427,0.3139,accident
0.5652,0.1692,0.5715,0.8214,1.3213,accident
-0.9521,0.7932,-0.2146,1.2577,0.4363,accident
1.3855,0.4187,1.5876,2.1484,0.8907,accident
-0.0593,0.6907,-0.0671,0.6965,1.4519,accident
0.6812,-1.7007,1.9999,2.7122,2.0157,accident
-0.7786,1.2178,-0.8672,1.6856,1.0266,accident
1.8223,-1.8943,1.9999,3.3028,1.6173,accident
-0.6089,1.2556,-0.8154,1.6162,1.6866,accident
-0.8149,-0.5176,1.9999,2.2208,0.6045,accident
-0.5454,0.2710,0.7622,0.9756,1.2451,accident
-0.5022,-0.0295,1.0464,1.1610,0.1854,accident
-0.0271,0.9995,-0.3162,1.0487,0.1124,accident
0.0715,-0.5334,1.7175,1.7999,0.7512,accident
0.0562,0.9534,-0.3740,1.0257,0.7742,accident
-0.8247,-0.1865,1.7446,1.9387,0.9131,accident
0.2854,0.8994,-0.3401,1.0030,0.9357,accident
-2.0000,-0.7649,1.8374,2.8215,1.8185,accident
0.1375,0.5222,-0.0967,0.5486,2.2730,accident
-2.0000,-0.7668,1.2258,2.4679,1.9193,accident
1.3579,-0.1382,0.7878,1.5760,0.8920,accident
-0.7959,-0.0095,1.5923,1.7801,0.2042,accident
0.4084,0.3777,0.5737,0.7992,0.9810,accident
-0.3591,0.9861,-1.8625,2.1379,1.3387,accident
-0.1003,-1.0896,1.9999,2.2797,0.1418,accident
0.0212,0.6746,0.3625,0.7661,1.5136,accident
-0.8723,-0.2920,-0.0728,0.9228,0.1566,accident
-0.4258,0.0649,0.9832,1.0734,0.1506,accident
-0.4473,0.0959,-0.1064,0.4697,0.6037,accident
-0.2803,0.0420,0.4651,0.5446,0.0750,accident
-0.1711,-0.5466,0.2656,0.6314,0.0868,accident
-1.5430,0.1282,0.7893,1.7379,1.1065,accident
1.9999,-1.2996,0.8774,2.5414,0.8035,accident
-1.2632,-0.4631,0.3962,1.4025,1.1388,accident
0.5342,-1.5276,0.7493,1.7833,0.3808,accident
-0.9182,-0.4133,0.4895,1.1196,0.6637,accident
1.0791,-0.8093,1.2771,1.8575,0.7379,accident
-2.0000,0.6729,0.9875,2.3298,0.4723,accident
0.9089,0.4126,0.0867,1.0020,1.3278,accident
0.0090,0.1418,1.0417,1.0514,0.0494,accident
-0.2803,0.2917,0.9568,1.0388,0.0126,accident
0.1040,0.1465,0.9680,0.9845,0.0543,accident
0.0146,0.2964,0.7891,0.8430,0.1415,accident
0.2427,0.1641,1.0339,1.0746,0.2316,accident
0.1523,0.2219,0.9746,1.0111,0.0635,accident
-0.5042,-0.7209,0.8489,1.2225,0.2114,accident
0.1765,-0.2363,0.7434,0.7998,0.4227,accident
-1.1218,-0.0337,0.1914,1.1385,0.3387,accident
1.9999,-0.5237,-0.8145,2.2220,1.0835,accident
-2.0000,0.7061,0.7373,2.2455,0.0235,accident
1.6848,-0.6460,1.0884,2.1072,0.1382,accident
-1.3638,0.2334,1.0225,1.7204,0.3868,accident
-0.2551,-0.0730,0.9143,0.9520,0.7684,accident
0.3174,-0.3760,1.0400,1.1506,0.1985,accident
-1.6438,0.7629,0.4333,1.8633,0.7128,accident
0.0933,-0.8811,0.7019,1.1304,0.7330,accident
-0.0422,1.6143,0.8640,1.8314,0.7011,accident
0.0830,-1.9434,1.0176,2.1952,0.3638,accident
0.1917,-0.5803,0.5425,0.8172,1.3780,accident
-1.4705,1.3530,-0.0381,1.9986,1.1814,accident
0.6443,-1.6462,1.0754,2.0692,0.0707,accident
-0.1799,1.9441,0.4636,2.0067,0.0626,accident
0.9819,-2.0000,1.8088,2.8699,0.8632,accident
-0.0776,0.2012,0.4888,0.5342,2.3356,accident
-0.8655,-0.8113,-0.3857,1.2474,0.7132,accident
-0.0222,-0.6335,-0.2109,0.6681,0.5793,accident
0.0989,1.6379,1.0010,1.9221,1.2540,accident
0.8853,-2.0000,1.9999,2.9637,1.0416,accident
0.2305,-0.2129,0.4604,0.5572,2.4065,accident
-0.4656,1.7622,0.3721,1.8603,1.3031,accident
1.9999,-1.5420,1.9999,3.2214,1.3611,accident
0.0530,0.5059,0.3044,0.5928,2.6286,accident
0.0259,-0.0347,0.9333,0.9344,0.3416,accident
-0.6658,-0.2837,0.5261,0.8947,0.0396,accident
0.0461,-0.0730,1.0046,1.0083,0.1136,accident
-0.1902,0.0732,0.7986,0.8242,0.1842,accident
-0.0027,0.2021,1.1538,1.1714,0.3472,accident
-0.7117,-0.0247,0.6199,0.9441,0.2273,accident
-0.0723,-0.2427,0.9958,1.0275,0.0834,accident
-0.2546,0.0334,0.9102,0.9457,0.0818,accident
0.7439,0.1675,1.4233,1.6147,0.6690,accident
-0.3352,-0.2266,0.3804,0.5553,1.0594,accident
0.2161,0.2712,0.7122,0.7921,0.2368,accident
-0.8350,1.0120,-1.1616,1.7523,0.9602,accident
0.7549,-0.6553,1.9999,2.2358,0.4835,accident
-0.0742,-0.1287,1.2632,1.2719,0.9640,accident
0.5264,-0.5488,1.1101,1.3456,0.0737,accident
-0.2029,1.1904,-0.4629,1.2933,0.0523,accident
0.3809,-0.0803,0.9504,1.0271,0.2662,accident
-0.1238,0.5164,-0.1365,0.5482,0.4788,accident
0.3899,-0.6030,1.9999,2.1250,1.5767,accident
0.1375,0.0435,1.0190,1.0292,1.0958,accident
0.2253,0.2056,0.1487,0.3393,0.6899,accident
0.1914,-1.1155,0.9688,1.4898,1.1504,accident
0.3914,0.3687,0.6501,0.8437,0.6461,accident
-0.1733,0.1321,0.6221,0.6591,0.1845,accident
0.6648,-0.5845,0.2676,0.9247,0.2656,accident
0.5608,-0.1519,0.9805,1.1397,0.2149,accident
0.3096,0.0852,0.8364,0.8959,0.2437,accident
1.7693,0.3794,0.7078,1.9430,1.0471,accident
-0.5869,-0.1125,0.9697,1.1391,0.8039,accident
0.5012,-0.0273,0.7104,0.8699,0.2692,accident
0.6160,0.2271,0.9292,1.1377,0.2678,accident
0.5933,-0.3967,-0.0137,0.7138,0.4239,accident
0.6719,-0.1482,0.5256,0.8658,0.1520,accident
0.0327,-0.0144,0.6697,0.6706,0.1952,accident
1.9999,0.4565,0.7244,2.1755,1.5049,accident
-1.1802,-0.3083,1.1985,1.7100,0.4655,accident
0.8372,-0.2407,0.6255,1.0724,0.6377,accident
-0.1047,-0.1951,0.5234,0.5683,0.5041,accident
1.2834,-0.3469,0.7666,1.5347,0.9664,accident
-1.0125,-0.6580,1.0425,1.5952,0.0605,accident
1.9999,-0.0791,1.4717,2.4843,0.8891,accident
-1.0686,-0.2737,1.2864,1.6946,0.7897,accident
1.8987,-0.1257,1.4995,2.4227,0.7281,accident
-1.1726,0.3884,0.5012,1.3331,1.0896,accident
1.9999,-0.3630,1.1384,2.3297,0.9966,accident
-0.1921,0.0750,0.6714,0.7023,1.6274,accident
1.2559,0.3062,-0.0684,1.2944,0.5921,accident
-0.5576,-0.5593,1.9241,2.0799,0.7854,accident
1.9580,0.5500,-0.0691,2.0350,0.0449,accident
-0.9333,-0.4204,1.3254,1.6747,0.3603,accident
1.8621,0.4551,0.3931,1.9567,0.2820,accident
-1.6228,-0.7170,1.4355,2.2822,0.3254,accident
0.7292,0.5073,0.6917,1.1259,1.1563,accident
-1.5398,0.2036,0.7349,1.7183,0.5924,accident
-0.4055,0.0110,0.5005,0.6442,1.0740,accident
-0.6729,-0.5481,0.2329,0.8985,0.2543,accident
-0.9683,-0.1394,0.4646,1.0830,0.1844,accident
1.8140,-0.4055,1.2922,2.2638,1.1808,accident
-1.6677,-0.0579,1.3521,2.1477,0.1161,accident
1.9999,0.4260,1.0012,2.2768,0.1291,accident
-1.1438,0.0366,0.9487,1.4865,0.7903,accident
1.2397,0.2959,0.4514,1.3521,0.1344,accident
-0.8354,0.6431,0.7307,1.2828,0.0694,accident
1.6316,0.2886,0.6013,1.7627,0.4799,accident
-0.9084,0.8076,0.6692,1.3876,0.3751,accident
-0.6448,0.5937,0.5972,1.0606,0.3270,accident
1.9999,-1.2124,1.8535,2.9842,1.9236,accident
-1.3599,1.4558,-0.0237,1.9923,0.9919,accident
1.9999,-1.2717,1.9999,3.1011,1.1088,accident
-1.2651,1.5278,0.0825,1.9854,1.1157,accident
1.9999,-1.0264,1.9999,3.0088,1.0235,accident
-1.3582,1.4968,-0.0037,2.0212,0.9877,accident
1.9999,-0.7883,1.9999,2.9361,0.9150,accident
-1.3291,1.1858,0.0557,1.7821,1.1541,accident
1.9999,-0.2639,1.6714,2.6197,0.8377,accident
-0.8467,0.6729,0.4893,1.1870,1.4327,accident
