ax,ay,az,accTotal,accChange,label
0.5037,-0.4985,0.5815,0.9167,0.0207,normal
0.6279,-0.6890,0.3787,1.0062,0.0894,normal
0.8372,-0.6914,0.3796,1.1502,0.1441,normal
0.8914,-0.6079,0.2515,1.1078,0.0424,normal
0.8745,-0.4602,0.1716,1.0030,0.1048,normal
0.7534,-0.0222,0.0073,0.7538,0.2492,normal
0.7617,0.3130,-0.1082,0.8306,0.0768,normal
0.6680,0.4922,0.3367,0.8954,0.0648,normal
0.1724,0.6694,0.6191,0.9280,0.0326,normal
-0.0544,0.5476,0.7637,0.9413,0.0133,normal
-0.0632,0.4358,0.9653,1.0610,0.1197,normal
-0.2214,0.1675,0.9993,1.0371,0.0239,normal
-0.0059,-0.0496,0.9236,0.9249,0.1122,normal
0.4136,-0.3030,1.3220,1.4179,0.4930,normal
0.1887,-0.3674,1.0330,1.1125,0.3055,normal
0.4465,0.3662,0.5488,0.7967,0.3158,normal
0.5073,0.4534,0.6257,0.9244,0.1277,normal
0.6428,0.3376,0.6812,0.9956,0.0712,normal
0.8882,-0.1340,0.1211,0.9064,0.0892,normal
0.7754,-0.1182,0.0562,0.7864,0.1200,normal
0.9146,-0.0632,-0.3328,0.9753,0.1889,normal
0.5396,-0.3687,-0.3193,0.7273,0.2479,normal
1.3342,-0.7778,-0.4885,1.6198,0.8925,normal
1.0630,-0.2344,-0.0110,1.0886,0.5313,normal
0.7075,0.2605,0.0798,0.7582,0.3304,normal
1.0083,0.0493,0.0056,1.0095,0.2514,normal
0.7656,0.1082,0.1328,0.7845,0.2250,normal
0.0608,0.4692,0.8967,1.0139,0.2294,normal
0.0881,0.0754,1.0076,1.0142,0.0003,normal
1.0554,-0.3125,0.8723,1.4045,0.3902,normal
0.0066,-0.0537,1.1431,1.1443,0.2601,normal
0.1270,0.1047,0.6299,0.6510,0.4933,normal
1.3801,-0.5134,0.6001,1.5901,0.9391,normal
0.0195,-0.1821,1.0791,1.0945,0.4956,normal
0.1956,0.3049,0.7947,0.8733,0.2212,normal
-0.1709,0.4004,0.8428,0.9486,0.0752,normal
-0.4373,0.4192,0.7424,0.9582,0.0096,normal
-0.2358,0.2979,0.9653,1.0374,0.0792,normal
-0.2390,0.2305,0.9275,0.9851,0.0523,normal
